image_id,path,class_name,class_id,annotated_attribute_id,color_attribute_id,color
1,001.Black_footed_Albatross/Black_Footed_Albatross_0046_18.jpg,001.Black_footed_Albatross,1,263,250,brown
2,001.Black_footed_Albatross/Black_Footed_Albatross_0009_34.jpg,001.Black_footed_Albatross,1,254,250,brown
3,001.Black_footed_Albatross/Black_Footed_Albatross_0002_55.jpg,001.Black_footed_Albatross,1,250,250,brown
4,001.Black_footed_Albatross/Black_Footed_Albatross_0074_59.jpg,001.Black_footed_Albatross,1,250,250,brown
5,001.Black_footed_Albatross/Black_Footed_Albatross_0014_89.jpg,001.Black_footed_Albatross,1,250,250,brown
6,001.Black_footed_Albatross/Black_Footed_Albatross_0085_92.jpg,001.Black_footed_Albatross,1,250,250,brown
7,001.Black_footed_Albatross/Black_Footed_Albatross_0031_100.jpg,001.Black_footed_Albatross,1,250,250,brown
8,001.Black_footed_Albatross/Black_Footed_Albatross_0051_796103.jpg,001.Black_footed_Albatross,1,250,250,brown
9,001.Black_footed_Albatross/Black_Footed_Albatross_0010_796097.jpg,001.Black_footed_Albatross,1,254,250,brown
10,001.Black_footed_Albatross/Black_Footed_Albatross_0025_796057.jpg,001.Black_footed_Albatross,1,250,250,brown
11,001.Black_footed_Albatross/Black_Footed_Albatross_0023_796059.jpg,001.Black_footed_Albatross,1,260,250,brown
12,001.Black_footed_Albatross/Black_Footed_Albatross_0086_796062.jpg,001.Black_footed_Albatross,1,250,250,brown
13,001.Black_footed_Albatross/Black_Footed_Albatross_0049_796063.jpg,001.Black_footed_Albatross,1,249,250,brown
14,001.Black_footed_Albatross/Black_Footed_Albatross_0006_796065.jpg,001.Black_footed_Albatross,1,250,250,brown
15,001.Black_footed_Albatross/Black_Footed_Albatross_0040_796066.jpg,001.Black_footed_Albatross,1,262,250,brown
16,001.Black_footed_Albatross/Black_Footed_Albatross_0016_796067.jpg,001.Black_footed_Albatross,1,250,250,brown
17,001.Black_footed_Albatross/Black_Footed_Albatross_0065_796068.jpg,001.Black_footed_Albatross,1,250,250,brown
18,001.Black_footed_Albatross/Black_Footed_Albatross_0089_796069.jpg,001.Black_footed_Albatross,1,250,250,brown
19,001.Black_footed_Albatross/Black_Footed_Albatross_0042_796071.jpg,001.Black_footed_Albatross,1,251,250,brown
20,001.Black_footed_Albatross/Black_Footed_Albatross_0067_170.jpg,001.Black_footed_Albatross,1,250,250,brown
21,001.Black_footed_Albatross/Black_Footed_Albatross_0060_796076.jpg,001.Black_footed_Albatross,1,260,250,brown
22,001.Black_footed_Albatross/Black_Footed_Albatross_0090_796077.jpg,001.Black_footed_Albatross,1,250,250,brown
23,001.Black_footed_Albatross/Black_Footed_Albatross_0056_796078.jpg,001.Black_footed_Albatross,1,250,250,brown
24,001.Black_footed_Albatross/Black_Footed_Albatross_0061_796082.jpg,001.Black_footed_Albatross,1,263,250,brown
25,001.Black_footed_Albatross/Black_Footed_Albatross_0008_796083.jpg,001.Black_footed_Albatross,1,250,250,brown
26,001.Black_footed_Albatross/Black_Footed_Albatross_0033_796086.jpg,001.Black_footed_Albatross,1,254,250,brown
27,001.Black_footed_Albatross/Black_Footed_Albatross_0024_796089.jpg,001.Black_footed_Albatross,1,250,250,brown
28,001.Black_footed_Albatross/Black_Footed_Albatross_0005_796090.jpg,001.Black_footed_Albatross,1,250,250,brown
29,001.Black_footed_Albatross/Black_Footed_Albatross_0026_796095.jpg,001.Black_footed_Albatross,1,260,250,brown
30,001.Black_footed_Albatross/Black_Footed_Albatross_0080_796096.jpg,001.Black_footed_Albatross,1,253,250,brown
31,001.Black_footed_Albatross/Black_Footed_Albatross_0047_796064.jpg,001.Black_footed_Albatross,1,254,250,brown
32,001.Black_footed_Albatross/Black_Footed_Albatross_0017_796098.jpg,001.Black_footed_Albatross,1,254,250,brown
33,001.Black_footed_Albatross/Black_Footed_Albatross_0064_796101.jpg,001.Black_footed_Albatross,1,260,250,brown
34,001.Black_footed_Albatross/Black_Footed_Albatross_0076_417.jpg,001.Black_footed_Albatross,1,250,250,brown
35,001.Black_footed_Albatross/Black_Footed_Albatross_0019_796104.jpg,001.Black_footed_Albatross,1,254,250,brown
36,001.Black_footed_Albatross/Black_Footed_Albatross_0057_796106.jpg,001.Black_footed_Albatross,1,262,250,brown
37,001.Black_footed_Albatross/Black_Footed_Albatross_0041_796108.jpg,001.Black_footed_Albatross,1,254,250,brown
38,001.Black_footed_Albatross/Black_Footed_Albatross_0053_796109.jpg,001.Black_footed_Albatross,1,263,250,brown
39,001.Black_footed_Albatross/Black_Footed_Albatross_0001_796111.jpg,001.Black_footed_Albatross,1,250,250,brown
40,001.Black_footed_Albatross/Black_Footed_Albatross_0071_796113.jpg,001.Black_footed_Albatross,1,250,250,brown
41,001.Black_footed_Albatross/Black_Footed_Albatross_0077_796114.jpg,001.Black_footed_Albatross,1,250,250,brown
42,001.Black_footed_Albatross/Black_Footed_Albatross_0032_796115.jpg,001.Black_footed_Albatross,1,254,250,brown
43,001.Black_footed_Albatross/Black_Footed_Albatross_0038_212.jpg,001.Black_footed_Albatross,1,250,250,brown
44,001.Black_footed_Albatross/Black_Footed_Albatross_0037_796120.jpg,001.Black_footed_Albatross,1,250,250,brown
45,001.Black_footed_Albatross/Black_Footed_Albatross_0082_796121.jpg,001.Black_footed_Albatross,1,260,250,brown
46,001.Black_footed_Albatross/Black_Footed_Albatross_0079_796122.jpg,001.Black_footed_Albatross,1,263,250,brown
47,001.Black_footed_Albatross/Black_Footed_Albatross_0050_796125.jpg,001.Black_footed_Albatross,1,250,250,brown
48,001.Black_footed_Albatross/Black_Footed_Albatross_0078_796126.jpg,001.Black_footed_Albatross,1,254,250,brown
49,001.Black_footed_Albatross/Black_Footed_Albatross_0036_796127.jpg,001.Black_footed_Albatross,1,250,250,brown
